time,gFx,gFy,gFz,TgF
0.135452026,-0.0255,0.7956,0.9098,1.195
1.135739218,0.2030,1.3159,0.4103,1.381
2.136141562,-0.0295,0.8524,0.5709,1.013
3.13623161,-0.0393,0.8368,0.5369,0.982
4.136602134,0.0052,0.8153,0.5852,0.990
5.136859907,-0.0007,0.8095,0.5887,0.987
6.137042809,-0.0469,0.8613,0.5918,1.033
7.137353112,-0.0496,0.8275,0.5517,0.983
8.137521244,-0.0050,0.8314,0.6066,1.016
9.137695724,0.0032,0.8084,0.5770,0.980
10.138098841,0.0098,0.8772,0.5092,1.001
11.143474778,0.0020,0.8576,0.5017,0.980
12.157475592,-0.0682,0.8699,0.5105,0.998
13.138882331,-0.2038,0.9261,0.4662,1.045
14.139313809,-0.1736,0.8714,0.4826,0.999
15.139581998,-0.0949,0.9707,0.3534,1.026
16.139832161,-0.0274,0.9631,0.2681,0.988
17.140130624,0.0369,0.8890,0.5855,1.051
18.140408009,-0.0527,0.7832,0.6265,0.991
19.140984425,-0.0521,0.8399,0.6612,1.057
20.140986948,-0.1021,0.7930,0.6003,0.987
21.14131251,0.0251,0.8665,0.5628,1.020
22.14163026,0.0446,0.8526,0.7051,1.093
23.141806652,0.1135,0.7011,0.6515,0.949
24.146836763,0.0789,0.7324,0.6509,0.969
25.160132214,0.0272,0.8002,0.6218,1.000
26.14270444,0.1019,0.7607,0.6789,1.010
27.142942071,0.0564,0.7865,0.6096,0.983
28.143195855,-0.0043,0.7476,0.6953,1.007
29.143449314,0.0023,0.8125,0.6237,1.011
30.144034235,-0.0123,0.8330,0.6129,1.021
31.14393072,0.0023,0.8334,0.6007,1.014
32.144187231,-0.0168,0.8328,0.5691,0.995
33.144511776,-0.0206,0.8505,0.6011,1.028
34.144829932,-0.0003,0.8455,0.5553,0.998
35.144984148,-0.0031,0.8192,0.6110,1.008
36.14853025,-0.0168,0.8167,0.5575,0.976
37.145327045,-0.0109,0.8217,0.5886,0.997
38.145770933,-0.0489,0.8306,0.6140,1.021
39.146316385,-0.0183,0.8324,0.5793,1.001
40.146628031,-0.0325,0.8528,0.5290,0.991
41.146912618,-0.0372,0.8305,0.6101,1.018
42.147120911,-0.0401,0.8486,0.5958,1.024
43.147454774,-0.0369,0.8807,0.5293,1.015
44.147818259,0.0379,0.9880,0.2632,1.011
45.14825519,0.1433,1.0738,0.2501,1.100
46.148607811,0.0344,0.9543,0.2182,0.968
47.148889997,-0.1329,0.9571,0.3580,1.019
48.149097069,-0.0606,0.8491,0.5807,1.017
49.149290348,-0.0582,0.8803,0.5566,1.030
50.163988021,-0.0525,0.8304,0.5273,0.972
51.150425643,-0.0206,0.8715,0.5843,1.036
52.15079804,-0.0938,0.8184,0.6025,1.008
53.151181829,-0.0670,0.8413,0.5725,1.007
54.151584662,-0.0107,0.8932,0.6377,1.084
55.151882392,-0.0430,0.8208,0.6179,1.015
56.152202379,-0.0300,0.7719,0.5929,0.960
57.152469388,-0.0191,0.7539,0.6432,0.978
58.15271886,-0.0210,0.7901,0.6502,1.010
59.152890288,-0.0441,0.7753,0.5983,0.967
60.153180734,-0.0619,0.7580,0.6691,0.999
61.154372182,-0.0060,0.8079,0.7431,1.084
62.154221751,-0.1102,0.7877,0.6286,1.001
63.163956045,-0.0057,0.7780,0.6848,1.023
64.155296133,-0.0418,0.8112,0.6730,1.041
65.155502636,-0.0493,0.7965,0.6444,1.012
66.155983919,-0.0048,0.7594,0.6836,1.008
67.156252271,-0.0870,0.8452,0.5764,1.014
68.156654615,-0.0636,0.8320,0.5614,0.993
69.156807936,-0.0597,0.8369,0.5643,0.998
70.156989414,-0.0840,0.8418,0.5911,1.019
71.157128778,-0.0538,0.8486,0.5642,1.007
72.157564,-0.0490,0.8368,0.5589,0.994
73.158329992,-0.0830,0.8428,0.6042,1.027
74.158125118,-0.0704,0.8311,0.5848,1.005
75.158604041,-0.0635,0.8482,0.5910,1.022
76.158556149,-0.0676,0.8095,0.5621,0.975
77.158751706,-0.0773,0.8217,0.5459,0.977
78.159085243,-0.0836,0.8237,0.5611,0.987
79.159170774,-0.0797,0.8349,0.5702,1.001
80.159471271,-0.0827,0.8217,0.5664,0.988
81.159596679,-0.0661,0.8217,0.5542,0.980
82.159927286,-0.0622,0.8241,0.5678,0.990
83.160193156,-0.0466,0.8206,0.5463,0.974
84.160305827,-0.0519,0.8372,0.5579,0.994
85.16052942,-0.0602,0.8114,0.5572,0.973
86.176253867,-0.0754,0.8202,0.5518,0.978
