time,gFx,gFy,gFz,TgF
87.160937909,-0.0714,0.8344,0.5946,1.014
88.161395632,-0.0787,0.8515,0.5818,1.021
89.161464765,-0.0802,0.8227,0.5698,0.991
90.161825036,-0.0602,0.8289,0.5566,0.987
91.162283248,-0.0515,0.8104,0.5557,0.971
92.162427576,-0.0651,0.8285,0.5556,0.987
93.162722987,-0.0748,0.8246,0.5839,1.000
94.163032802,-0.0895,0.8305,0.5747,1.001
95.163134039,-0.0745,0.8211,0.5489,0.977
96.165991054,-0.0588,0.8250,0.5567,0.984
97.17798544,-0.0582,0.8251,0.5922,1.004
98.163987963,-0.0646,0.8236,0.5689,0.990
99.164126798,-0.0403,0.8362,0.5521,0.990
100.164309538,-0.0563,0.8587,0.5847,1.027
101.16453016,-0.0315,0.8411,0.5647,1.000
102.164965545,-0.0758,0.8276,0.6049,1.015
103.164863616,-0.0483,0.8720,0.6117,1.053
104.165030243,-0.0709,0.8525,0.5871,1.024
105.165580577,-0.0460,0.8363,0.5755,1.003
106.16566859,-0.0432,0.8305,0.5633,0.991
107.171677665,-0.0577,0.8388,0.5745,1.005
108.166166475,-0.0714,0.8457,0.5691,1.009
109.166540581,-0.0773,0.8178,0.5547,0.978
110.166615329,-0.0602,0.8300,0.5643,0.992
111.167024184,-0.0623,0.8133,0.5484,0.970
112.167265517,-0.0602,0.8378,0.5745,1.004
113.167401585,-0.0612,0.8377,0.5678,1.001
114.167663996,-0.0593,0.8309,0.5644,0.993
115.167921321,-0.0769,0.8177,0.5568,0.979
116.168675879,-0.0456,0.8270,0.5775,0.996
117.168774593,-0.0394,0.8289,0.5512,0.983
118.168977475,-0.0593,0.8275,0.5517,0.983
119.169122373,-0.0714,0.8354,0.6068,1.022
120.173886493,-0.0876,0.8558,0.5438,1.005
121.176229633,-0.0903,0.8965,0.5897,1.064
122.169769143,-0.1040,0.8032,0.6120,1.002
123.170203185,-0.0466,0.7689,0.5764,0.949
124.170685119,-0.0961,0.8272,0.6137,1.021
125.170653748,-0.0369,0.8455,0.5393,0.990
126.170822002,-0.0548,0.8711,0.5596,1.024
127.171081524,-0.0723,0.8306,0.5838,1.005
128.171284405,-0.0295,0.8183,0.5555,0.976
129.171598818,-0.0324,0.8559,0.5567,1.008
130.171650739,-0.0894,0.8413,0.5774,1.011
131.171824405,-0.0596,0.8032,0.5849,0.982
132.180374129,-0.0421,0.8291,0.5632,0.990
133.178926579,-0.0309,0.8487,0.5621,1.005
134.172679021,-0.0919,0.8726,0.5474,1.021
135.172926987,-0.0715,0.8916,0.4981,1.011
136.173128688,-0.1442,0.9875,0.3241,1.038
137.17342361,-0.1027,0.9394,0.4797,1.047
138.17420482,-0.1043,0.8681,0.4628,0.977
139.174464952,-0.0598,0.8634,0.3823,0.934
140.174788073,-0.0214,0.8738,0.4898,0.989
141.174933296,-0.0219,0.8285,0.5101,0.960
142.175169788,-0.0429,0.9065,0.4769,1.012
143.175557972,-0.0190,0.7951,0.4880,0.920
144.184200835,-0.0139,0.8012,0.5893,0.981
145.17601533,-0.0560,0.7868,0.6742,1.024
146.176242015,-0.0331,0.8336,0.6407,1.038
147.176452505,-0.1130,0.8098,0.6752,1.047
148.176677441,-0.0915,0.7860,0.5574,0.955
149.177263908,0.0124,0.7952,0.5542,0.956
150.177239535,-0.0991,0.8242,0.6035,1.013
151.177417961,-0.0886,0.8470,0.5317,0.991
152.177545607,-0.0839,0.8220,0.4778,0.942
153.177725864,-0.0998,0.8495,0.5317,0.994
154.177953851,-0.1528,0.8771,0.4138,0.970
155.178327184,-0.1594,0.9159,0.4904,1.039
156.185918533,-0.0746,0.8352,0.4898,0.958
157.178686682,-0.2121,0.8559,0.5018,1.003
158.178777218,-0.2274,0.9632,0.4143,1.062
159.179199052,0.1645,0.8289,0.4166,0.928
160.179408363,-0.0096,0.8045,0.5576,0.965
161.179714678,-0.1669,0.7634,0.4400,0.885
162.179855589,0.0767,0.9126,0.6690,1.120
163.180058877,0.0895,1.0554,0.5320,1.172
164.180268879,-0.0401,0.8205,0.4494,0.923
165.180469767,-0.1060,0.7653,0.4388,0.876
166.180635416,0.0191,0.8220,0.5194,0.959
167.191671753,-0.1045,0.7517,0.4589,0.874
168.181106772,-0.0201,0.8466,0.5987,1.024
169.181514487,0.0378,0.9538,0.7146,1.179
170.181797853,-0.0386,0.7162,0.3381,0.780
171.181906252,-0.1292,0.7269,0.5005,0.879
172.182210493,-0.0885,0.7714,0.5683,0.949
173.182878787,-0.0526,0.7586,0.5385,0.919
174.183020105,-0.0797,0.7827,0.5983,0.975
175.183522709,0.0200,0.7345,0.5035,0.877
176.183906662,-0.0653,0.9224,0.6363,1.109
177.18428333,-0.0662,0.8743,0.5412,1.017
178.184550177,-0.0734,0.8118,0.5670,0.980
179.184709194,-0.0731,0.8137,0.5314,0.962
180.192553636,0.0001,0.8717,0.5196,1.001
181.185196744,-0.0103,0.8814,0.4899,0.995
182.185448535,-0.0303,0.8138,0.6342,1.019
183.185612638,0.0316,0.8836,0.6120,1.062
184.186022836,0.0248,0.9238,0.4758,1.026
185.185967986,-0.0847,0.9527,0.6834,1.162
186.186443288,-0.0228,0.7113,0.4177,0.812
187.186480886,0.0015,0.8077,0.5323,0.954
188.186758433,-0.0750,0.7107,0.5644,0.897
189.186884614,-0.0416,0.8661,0.6113,1.048
190.187064261,-0.1283,0.9403,0.7582,1.202
191.19483184,-0.0038,0.8249,0.5258,0.965
192.193073011,0.0517,0.8209,0.5018,0.950
193.18800457,-0.0892,0.8175,0.6503,1.035
194.18833119,-0.2041,0.9876,0.6727,1.200
195.188670994,-0.2137,0.8810,0.5907,1.070
196.188904515,-0.3221,0.8944,0.8603,1.270
197.189163711,-0.0231,0.7950,0.4339,0.893
198.189358617,0.1185,0.7930,0.4978,0.930
199.189559179,0.0264,0.7861,0.3739,0.858
200.18986228,0.1086,0.9124,0.5665,1.066
201.190554623,0.0632,0.8056,0.5772,0.979
202.190822202,-0.1196,0.8468,0.5852,1.023
203.191033913,-0.0405,0.8502,0.6283,1.045
204.191290383,-0.0067,0.8261,0.5134,0.959
205.198875426,-0.0051,0.8872,0.5538,1.033
206.191847554,-0.0206,0.7345,0.6072,0.940
207.192046976,-0.0215,0.8415,0.6107,1.026
208.192378642,-0.0649,0.8136,0.5935,0.996
209.192853699,0.0413,0.9570,0.5220,1.078
210.19321572,-0.0352,0.7907,0.5931,0.976
211.193561586,-0.0877,0.8138,0.6292,1.019
212.193815493,-0.1537,0.7815,0.5838,0.975
213.194005597,0.0532,0.8298,0.6286,1.028
214.194174136,-0.0676,0.9115,0.6381,1.101
215.194406355,-0.0505,0.8145,0.5379,0.964
216.194634749,0.0776,0.7576,0.5098,0.903
217.19988951,-0.1383,1.0793,0.7652,1.317
218.195044215,0.0152,0.7927,0.6461,1.009
219.195367742,-0.0176,0.7555,0.6221,0.965
220.195522324,-0.0990,0.7883,0.6148,0.992
221.195952012,-0.0670,0.7351,0.4261,0.840
222.196126492,-0.0208,0.9518,0.8038,1.232
223.196384997,-0.1317,0.6867,0.8047,1.053
224.196707304,0.0148,0.6954,0.8778,1.106
225.197150297,0.1396,0.7592,0.8525,1.136
226.197487822,0.0628,0.6820,0.7915,1.033
227.197651112,0.0001,0.6763,0.8536,1.075
228.204010772,0.0005,0.7468,0.6723,0.991
229.20178657,-0.0162,0.7979,0.5877,0.978
230.19834488,-0.0392,0.8345,0.5578,0.991
231.198721874,-0.0382,0.8369,0.5627,0.996
232.19895157,-0.0479,0.8477,0.5738,1.012
233.199132723,-0.0280,0.8344,0.5573,0.990
234.199399488,-0.0480,0.8325,0.5618,0.992
235.199710157,-0.0309,0.8286,0.5564,0.985
236.200133498,-0.0250,0.8452,0.5719,1.007
237.200406488,-0.0597,0.8379,0.5652,0.999
238.200693476,-0.0455,0.8267,0.5642,0.989
239.200818151,-0.0329,0.8427,0.5587,0.998
240.201014929,-0.0460,0.8355,0.5880,1.009
241.205944698,-0.0206,0.8428,0.5781,1.009
242.2014849,-0.0192,0.8452,0.5708,1.007
243.201972002,-0.0280,0.8330,0.5690,0.996
244.202326779,-0.0285,0.8228,0.5603,0.982
245.202493976,-0.0290,0.8360,0.5568,0.991
246.203105508,-0.0456,0.8247,0.5535,0.981
247.202922728,-0.0474,0.8365,0.5807,1.006
248.203311238,-0.0358,0.8360,0.5641,0.996
249.203520507,-0.0524,0.8311,0.5603,0.990
250.203759155,-0.0241,0.8374,0.5597,0.994
251.203991293,-0.0392,0.8350,0.5598,0.993
252.204133343,-0.0446,0.8355,0.5651,0.996
253.204484255,-0.0300,0.8418,0.5567,0.996
254.204840415,-0.0192,0.8477,0.5752,1.011
255.205239993,-0.0357,0.8443,0.5763,1.010
256.205407677,-0.0436,0.8686,0.5274,1.004
257.205729048,-0.0484,0.8507,0.5719,1.013
258.20602926,-0.0494,0.8628,0.5537,1.013
259.20639303,-0.0388,0.8359,0.5393,0.982
260.206614426,-0.0139,0.8081,0.5725,0.977
261.206972784,-0.0284,0.8194,0.5900,0.997
262.207200283,-0.0275,0.8130,0.5687,0.979
263.207472337,-0.0917,0.8532,0.5871,1.027
264.214850674,-0.0300,0.8433,0.5567,0.998
265.208262784,-0.0285,0.8261,0.5525,0.981
266.208673022,-0.0426,0.8335,0.5607,0.992
267.208800261,-0.0284,0.8443,0.5621,1.001
268.209115854,-0.0635,0.8643,0.5703,1.024
269.209472137,-0.0394,0.8681,0.4913,0.985
270.209907399,-0.0430,0.8350,0.6090,1.021
271.210218394,-0.0053,0.7912,0.6584,1.016
272.210427786,-0.0466,0.8183,0.5414,0.969
273.210548351,-0.0104,0.8364,0.5640,0.995
274.210918306,-0.0325,0.8246,0.5291,0.967
275.211166842,0.0266,0.7627,0.5889,0.950
276.223982353,-0.0208,0.8285,0.5496,0.981
277.211647718,-0.0325,0.8246,0.5472,0.977
278.211833713,-0.0593,0.8631,0.5217,0.997
279.21207053,-0.0447,0.8651,0.5197,0.997
280.212449681,-0.1098,0.9973,0.4361,1.082
281.212510351,-0.1044,0.9045,0.4334,0.996
282.212666886,-0.0605,0.9070,0.4615,1.007
283.212937353,-0.0533,0.8620,0.4443,0.958
284.213174008,-0.0023,0.7609,0.7201,1.034
285.213403785,0.0135,0.7522,0.7732,1.065
286.21370416,-0.0256,0.8085,0.5839,0.984
287.213934873,-0.0179,0.7887,0.6819,1.029
288.214672911,-0.0317,0.7881,0.6464,1.006
289.214632832,-0.0392,0.8266,0.5682,0.990
290.214795755,-0.0271,0.8319,0.5515,0.985
291.22505544,-0.0476,0.8319,0.5648,0.993
292.215353333,-0.0319,0.8446,0.5685,1.005
293.215945089,-0.0587,0.8393,0.5696,1.003
294.216251242,-0.0271,0.8427,0.5568,0.997
295.216856549,-0.0596,0.8344,0.5896,1.010
296.21705589,-0.0295,0.8305,0.5511,0.984
297.217618879,-0.0251,0.8432,0.5539,0.996
298.21779873,-0.0343,0.8442,0.5719,1.007
299.218196232,-0.0612,0.8339,0.5648,0.996
300.218342025,-0.0421,0.8438,0.5680,1.005
301.218553777,-0.0392,0.8443,0.5656,1.004
302.218712794,-0.0275,0.8281,0.5545,0.984
303.226498073,-0.0626,0.8360,0.5808,1.007
304.219384182,-0.0299,0.8452,0.5650,1.004
305.219671536,-0.0353,0.8349,0.5529,0.989
306.219875272,-0.0631,0.8429,0.5797,1.012
307.220240018,-0.0245,0.8452,0.5675,1.005
308.220575142,-0.0383,0.8350,0.5568,0.991
309.22074242,-0.0631,0.8360,0.5749,1.003
310.221493112,-0.0392,0.8365,0.5646,0.997
311.22176358,-0.0270,0.8257,0.5549,0.982
312.222251739,-0.0548,0.8399,0.5841,1.011
313.222424185,-0.0397,0.8335,0.5656,0.995
314.222717968,-0.0378,0.8418,0.5543,0.995
315.22324641,-0.0476,0.8335,0.5462,0.984
316.223375887,-0.0367,0.8422,0.5646,1.001
317.231030266,-0.0548,0.8193,0.5624,0.982
318.223922112,-0.0377,0.8291,0.5656,0.991
319.224277215,-0.0363,0.8296,0.5559,0.986
320.224522821,-0.0466,0.8330,0.5540,0.988
321.22490189,-0.0363,0.8398,0.5582,0.996
322.225525996,-0.0513,0.8380,0.5905,1.013
323.225650467,-0.0558,0.8311,0.5711,0.997
324.225812821,-0.0450,0.8238,0.5720,0.991
325.226113399,-0.0455,0.8203,0.5682,0.986
326.226395097,-0.0416,0.8393,0.5612,0.997
327.226650754,-0.0300,0.8266,0.5520,0.981
328.226851316,-0.0222,0.8491,0.5650,1.007
329.227099974,-0.0392,0.8301,0.5695,0.994
330.227325845,-0.0484,0.8365,0.5836,1.008
331.234802693,-0.0578,0.8237,0.5531,0.981
332.227841308,-0.0563,0.8256,0.5609,0.987
333.227991292,-0.0466,0.8276,0.5560,0.985
334.22832247,-0.0446,0.8402,0.5549,0.995
335.228510173,-0.0432,0.8310,0.5628,0.991
336.228759157,-0.0295,0.8349,0.5481,0.986
337.22940145,-0.0231,0.8491,0.5801,1.015
338.229723025,-0.0504,0.8422,0.5803,1.011
339.23014783,-0.0631,0.8344,0.5706,1.000
340.230415897,-0.0461,0.8310,0.5623,0.991
341.23062358,-0.0358,0.8339,0.5651,0.995
342.231180139,-0.0305,0.8198,0.5550,0.977
343.241830083,-0.0455,0.8287,0.5866,1.003
344.241625982,-0.0532,0.8380,0.5870,1.011
345.231635504,-0.0420,0.8527,0.5898,1.024
346.231988817,-0.0504,0.8459,0.5737,1.010
347.23231385,-0.0543,0.8273,0.5686,0.992
348.232520556,-0.0523,0.8307,0.5622,0.991
349.233040901,-0.0421,0.8380,0.5617,0.996
350.23339926,-0.0250,0.8462,0.5527,0.998
351.233586516,-0.0420,0.8488,0.5947,1.024
352.23390101,-0.0488,0.8537,0.5849,1.023
353.234200653,-0.0508,0.8434,0.5816,1.013
354.234376068,-0.0552,0.8439,0.5860,1.016
355.234633963,-0.0475,0.8341,0.5647,0.995
356.234713268,-0.0421,0.8321,0.5642,0.993
357.245711356,-0.0299,0.8452,0.5654,1.004
358.235194999,-0.0397,0.8252,0.5589,0.984
359.235351697,-0.0378,0.8247,0.5535,0.981
360.237103895,-0.0377,0.8438,0.5850,1.014
361.236129896,-0.0596,0.8487,0.5758,1.014
362.236375218,-0.0577,0.8325,0.5642,0.994
363.236839574,-0.0441,0.8291,0.5632,0.990
364.237343195,-0.0387,0.8384,0.5661,0.999
365.2375003,-0.0187,0.8369,0.5548,0.991
366.238347428,-0.0372,0.8404,0.5929,1.016
367.238826921,-0.0562,0.8272,0.5828,1.000
368.239042172,-0.0538,0.8531,0.5753,1.017
369.239335467,-0.0621,0.8238,0.5560,0.983
370.239615497,-0.0455,0.8345,0.5598,0.993
371.240040505,-0.0432,0.8286,0.5559,0.986
372.240495706,-0.0436,0.8374,0.5573,0.994
373.24068756,-0.0382,0.8433,0.5597,1.000
374.24110321,-0.0407,0.8208,0.5535,0.978
375.241368266,-0.0367,0.8365,0.5661,0.997
376.241619935,-0.0445,0.8365,0.5875,1.010
377.241865093,-0.0523,0.8468,0.5767,1.013
378.24219155,-0.0537,0.8526,0.5830,1.021
379.249095848,-0.0475,0.8336,0.5642,0.994
380.262598005,-0.0635,0.8414,0.5651,1.002
381.243268985,-0.0426,0.8399,0.5553,0.995
382.243436791,-0.0573,0.8292,0.5574,0.988
383.244079736,-0.0505,0.8184,0.5468,0.972
384.24481578,-0.0690,0.8159,0.5336,0.964
385.244632187,-0.0543,0.8692,0.5561,1.020
386.244877305,-0.0402,0.8335,0.5359,0.978
387.245088649,-0.0557,0.8282,0.5925,1.007
388.245677721,-0.0669,0.8483,0.5836,1.019
389.246000963,-0.0328,0.8394,0.5602,0.996
390.24676492,-0.0701,0.8486,0.5120,0.981
391.258696439,-0.0573,0.8770,0.5385,1.018
392.246659331,-0.0176,0.7946,0.6243,0.997
393.246938221,-0.0360,0.8210,0.6509,1.035
394.247491851,-0.0510,0.8349,0.5135,0.968
395.247810821,-0.0412,0.8272,0.5457,0.979
396.248080923,-0.0728,0.8790,0.5449,1.024
397.248417552,-0.0436,0.8838,0.5433,1.025
398.248768546,-0.0642,0.8662,0.5157,0.997
399.248929028,-0.0689,0.8829,0.5551,1.032
400.249471102,-0.0410,0.9134,0.4354,1.000
401.249427117,-0.0535,0.8291,0.5101,0.962
402.251936394,-0.0551,0.8274,0.6256,1.025
403.253231317,-0.0341,0.7614,0.6518,0.989
404.25033056,-0.0292,0.7732,0.6518,0.998
405.250614618,-0.0380,0.7815,0.6332,0.993
406.250978511,-0.0164,0.7595,0.6864,1.010
407.251317256,-0.0620,0.8532,0.5879,1.025
408.251574093,-0.0411,0.8394,0.5714,1.003
409.251814043,-0.0367,0.8399,0.5694,1.002
410.252117673,-0.0713,0.8420,0.5831,1.014
411.252372841,-0.0485,0.8375,0.5548,0.993
412.252962766,-0.0649,0.8523,0.5996,1.031
413.253159463,-0.0504,0.8350,0.5670,0.997
414.253303791,-0.0377,0.8433,0.5728,1.007
415.254166218,-0.0640,0.8478,0.5772,1.014
416.254157308,-0.0436,0.8316,0.5651,0.993
417.265750122,-0.0684,0.8410,0.5788,1.010
418.255102092,-0.0630,0.8478,0.5782,1.015
419.255462322,-0.0557,0.8180,0.5701,0.985
420.255765423,-0.0465,0.8433,0.5582,0.999
421.256049481,-0.0441,0.8155,0.5433,0.968
422.256360192,-0.0464,0.8381,0.5977,1.017
423.25688599,-0.0645,0.8356,0.5792,1.006
424.257166589,-0.0640,0.8332,0.5734,1.000
425.257477869,-0.0504,0.8253,0.5744,0.994
426.257782801,-0.0450,0.8311,0.5603,0.990
427.258244471,-0.0309,0.8267,0.5588,0.985
428.265082281,-0.0571,0.8357,0.5914,1.012
429.258708421,-0.0333,0.8385,0.5704,1.001
430.259193163,-0.0528,0.8419,0.5792,1.010
431.259364794,-0.0737,0.8459,0.5729,1.011
432.259662239,-0.0538,0.8316,0.5686,0.996
433.260025806,-0.0543,0.8204,0.5609,0.982
434.260324024,-0.0411,0.8346,0.5636,0.995
435.260906829,-0.0534,0.8262,0.5477,0.980
436.26107667,-0.0373,0.8223,0.5520,0.978
437.261688202,-0.0319,0.8419,0.5626,1.000
438.262128591,-0.0348,0.8311,0.5626,0.991
439.262452648,-0.0523,0.8351,0.5827,1.006
440.262777396,-0.0708,0.8429,0.5846,1.015
441.263054984,-0.0689,0.8278,0.5794,1.000
442.26963901,-0.0577,0.8272,0.5657,0.991
443.263539523,-0.0587,0.8238,0.5565,0.983
444.263931084,-0.0548,0.8350,0.5656,0.997
445.264208673,-0.0485,0.8355,0.5578,0.993
446.264653742,-0.0436,0.8380,0.5538,0.992
447.265095148,-0.0358,0.8404,0.5611,0.998
448.265427017,-0.0465,0.8390,0.5772,1.006
449.265679297,-0.0562,0.8322,0.5973,1.013
450.266551611,-0.0659,0.8405,0.5856,1.013
451.266353573,-0.0704,0.8316,0.5691,0.997
452.2665025,-0.0562,0.8263,0.5662,0.990
453.266698748,-0.0363,0.8414,0.5665,1.002
454.26695766,-0.0344,0.8223,0.5491,0.976
455.278142597,-0.0684,0.8405,0.5851,1.013
456.26771706,-0.0299,0.8341,0.5656,0.995
457.26811208,-0.0372,0.8267,0.5593,0.986
458.268454895,-0.0367,0.8498,0.5810,1.017
459.268710958,-0.0367,0.8395,0.5830,1.009
460.269065736,-0.0542,0.8449,0.5855,1.016
461.26940147,-0.0552,0.8395,0.5904,1.015
462.269785219,-0.0367,0.8410,0.5869,1.013
463.270179588,-0.0645,0.8498,0.5782,1.017
464.270447411,-0.0533,0.8394,0.5739,1.005
465.270579573,-0.0363,0.8350,0.5592,0.992
466.270769718,-0.0485,0.8350,0.5534,0.990
467.27098204,-0.0490,0.8223,0.5477,0.976
468.28381456,-0.0382,0.8336,0.5860,1.006
469.271722275,-0.0372,0.8380,0.5607,0.996
470.272128566,-0.0573,0.8199,0.5555,0.979
471.272408189,-0.0436,0.8355,0.5538,0.990
472.272762478,-0.0504,0.8350,0.5578,0.992
473.273197334,-0.0752,0.8405,0.5700,1.005
474.273732938,-0.0552,0.8307,0.5647,0.993
475.274012439,-0.0553,0.8175,0.5614,0.980
476.274437285,-0.0426,0.8204,0.5642,0.983
477.27493875,-0.0470,0.8316,0.5603,0.991
478.275077748,-0.0635,0.8341,0.5813,1.005
479.275138418,-0.0483,0.8498,0.5908,1.023
480.275645783,-0.0498,0.8341,0.5968,1.014
481.284869905,-0.0635,0.8224,0.5789,0.995
482.276342358,-0.0504,0.8297,0.5651,0.992
483.276752515,-0.0548,0.8233,0.5628,0.986
484.277022128,-0.0484,0.8414,0.5684,1.003
485.277646681,-0.0387,0.8346,0.5534,0.989
486.277892449,-0.0703,0.8424,0.5714,1.007
487.278228876,-0.0441,0.8297,0.5656,0.992
488.278354324,-0.0553,0.8223,0.5540,0.980
489.278542313,-0.0484,0.8404,0.5675,1.002
490.278697708,-0.0500,0.8189,0.5443,0.971
491.280614783,-0.0401,0.8321,0.5860,1.005
492.280708004,-0.0582,0.8424,0.5783,1.010
493.294424639,-0.0504,0.8307,0.5637,0.992
494.281096718,-0.0762,0.8297,0.5774,1.001
495.281149778,-0.0562,0.8297,0.5710,0.996
496.281569619,-0.0534,0.8214,0.5594,0.982
497.282312987,-0.0485,0.8365,0.5573,0.993
498.282681436,-0.0495,0.8203,0.5448,0.973
499.282955159,-0.0284,0.8350,0.5612,0.993
500.283138835,-0.0410,0.8405,0.5928,1.016
501.283436483,-0.0778,0.8609,0.5231,0.997
502.283869549,-0.0563,0.8618,0.5269,0.999
503.284258872,-0.0548,0.8296,0.5452,0.981
504.290959719,-0.0593,0.8379,0.5232,0.977
505.285516238,-0.1186,0.9427,0.3901,1.015
506.285287357,-0.0989,0.9619,0.4464,1.053
507.285744144,-0.0486,0.8955,0.4769,1.003
508.286143844,-0.0247,0.8676,0.4946,0.986
509.286620488,-0.1350,0.9419,0.4320,1.033
510.287059697,-0.2919,0.6882,0.5391,0.910
511.287518967,-0.4020,0.7239,0.7131,1.082
512.287920091,-0.2670,0.6691,0.7092,0.999
513.288303595,-0.3142,0.8475,0.5375,1.040
514.289542732,-0.3042,0.7730,0.6477,1.042
515.296676155,-0.3814,0.6070,0.6194,0.937
516.289260384,-0.0539,0.9038,0.5104,1.026
517.289449634,-0.0444,0.8474,0.5980,1.025
518.289957813,-0.1000,0.8124,0.4363,0.915
519.29050123,-0.0236,1.0103,0.5032,1.116
520.290795095,-0.0313,0.7614,0.5870,0.948
521.291179006,0.0899,0.7191,0.5173,0.876
522.291366425,-0.0098,0.9255,0.5861,1.082
523.291671195,-0.0239,0.8325,0.7447,1.104
524.292096244,0.0375,0.7296,0.7931,1.064
525.292363985,0.0231,0.7742,0.6875,1.022
526.29284063,-0.0632,0.7393,0.5327,0.900
527.303018812,-0.0324,0.8283,0.5441,0.978
528.293057672,-0.1229,0.8247,0.4504,0.935
529.293409438,-0.1578,0.8966,0.4786,1.016
530.294068944,0.0268,0.9543,0.5581,1.092
531.294993627,-0.0039,0.8681,0.4404,0.960
532.295404353,-0.1364,0.8004,0.4691,0.925
533.295509863,-0.0767,0.8288,0.5296,0.974
534.296013526,-0.1781,0.8401,0.5313,0.998
535.296155453,-0.1439,0.8706,0.4140,0.963
536.296404925,0.0603,0.9735,0.6683,1.169
537.296697121,-0.0198,0.7041,0.6643,0.954
538.296979185,0.0334,0.8248,0.5034,0.953
