time,ax,ay,az,atotal
0.011942863464355469,1.93,0.43,-1.59,2.53
0.016003131866455078,1.94,0.56,-2.47,3.19
0.025951862335205078,1.85,0.83,-3.15,3.74
0.03592395782470703,1.86,0.71,-3.52,4.04
0.045799970626831055,2.72,-0.39,-3.78,4.67
0.05625200271606445,3.48,-0.76,-3.5,4.99
0.06618404388427734,2.6,-0.82,-3.09,4.12
0.07566595077514648,1.63,-1.62,-2.92,3.71
0.08635306358337402,1.82,-3.06,-2.82,4.54
0.09609198570251465,2.31,-4.22,-2.78,5.55
0.10617208480834961,1.8,-4.55,-2.89,5.68
0.11591815948486328,-0.94,-2.8,-3.03,4.23
0.12650203704833984,-4.93,0.57,-3.6,6.13
0.13573408126831055,-6.05,2.62,-4.11,7.76
0.14566302299499512,-3.81,1.89,-3.44,5.47
0.1559128761291504,-0.34,0.15,-2.07,2.1
0.16571497917175293,1.33,0.16,-1.02,1.68
0.17899513244628906,1.5,0.45,0.16,1.57
0.18536806106567383,0.75,1.39,1.15,1.95
0.19558095932006836,0.8,2.27,2.06,3.16
0.20560693740844727,0.91,3.02,3.02,4.36
0.21545886993408203,0.28,2.93,2.42,3.81
0.2296009063720703,-0.11,1.98,1.33,2.38
0.23503589630126953,-0.87,0.5,0.85,1.31
0.2452988624572754,-2.46,-0.08,1.42,2.84
0.25532102584838867,-4.33,0.02,2.66,5.08
0.26510000228881836,-4.18,0.0,3.03,5.16
0.2774028778076172,-2.17,-0.32,1.99,2.96
0.28512096405029297,-0.59,0.2,0.41,0.74
0.29502201080322266,0.48,1.26,-0.32,1.38
0.30510807037353516,1.95,1.48,0.14,2.45
0.31502699851989746,2.1,2.36,1.7,3.58
0.3282651901245117,1.21,3.07,3.97,5.16
0.33516407012939453,-0.15,2.65,4.78,5.46
0.34473705291748047,-2.45,1.58,3.0,4.18
0.3550291061401367,-4.47,0.35,0.43,4.5
0.36482715606689453,-5.61,-0.57,-3.72,6.75
0.3790709972381592,-5.5,-0.59,-5.0,7.45
0.385465145111084,-5.55,-0.02,-2.32,6.01
0.3946099281311035,-4.55,-0.13,0.09,4.55
0.4044480323791504,-3.1,-0.36,1.0,3.27
0.41464900970458984,-2.34,-0.03,0.95,2.52
0.4281480312347412,-1.74,0.22,1.02,2.02
0.4349708557128906,0.19,0.72,1.96,2.09
0.4442150592803955,1.35,1.25,2.84,3.38
0.45429205894470215,0.39,0.84,2.8,2.94
0.4642000198364258,-1.04,0.33,2.33,2.57
0.4787909984588623,-1.19,1.21,2.45,2.98
0.4838860034942627,-0.31,2.44,2.87,3.77
0.4938969612121582,1.08,2.81,3.15,4.35
0.5041770935058594,1.34,1.9,3.15,3.91
0.5139820575714111,0.45,1.32,2.67,3.01
0.5309460163116455,-0.36,1.61,2.43,2.93
0.5335421562194824,-0.98,1.79,1.99,2.85
0.5437619686126709,-1.29,1.75,1.65,2.72
0.5537729263305664,-1.54,2.08,1.31,2.9
0.5635361671447754,-0.88,1.56,0.87,1.99
0.5792169570922852,0.41,0.79,-0.04,0.89
0.5833280086517334,2.32,0.44,-1.94,3.05
0.5935711860656738,3.41,0.64,-3.58,4.98
0.6035020351409912,4.4,0.71,-1.87,4.83
0.6134450435638428,3.0,0.61,-0.07,3.06
0.6296679973602295,-0.02,0.27,0.09,0.28
0.6328990459442139,-2.97,-0.25,-1.48,3.32
0.6432681083679199,-4.56,-0.8,-3.25,5.65
0.653113842010498,-3.06,-1.28,-4.08,5.25
0.6628940105438232,0.03,-1.81,-2.9,3.41
0.6785268783569336,1.45,-1.39,-0.81,2.16
0.682636022567749,1.37,-0.68,0.22,1.54
0.692857027053833,1.89,-0.43,0.85,2.11
0.7026891708374023,2.63,-0.09,1.32,2.94
0.7126641273498535,2.78,-0.16,0.33,2.8
0.7288398742675781,3.52,0.41,-0.31,3.55
0.7326359748840332,2.84,0.92,-1.6,3.38
0.7427558898925781,0.3,-0.9,-2.77,2.92
0.7527551651000977,-1.81,-2.22,-4.15,5.04
0.7626419067382812,-3.29,-2.17,-4.26,5.8
0.7787079811096191,-3.13,-0.83,-2.85,4.31
0.7822351455688477,-1.13,-0.09,-1.16,1.62
0.7924120426177979,0.99,-0.3,0.2,1.05
0.8024170398712158,3.46,0.77,1.75,3.95
0.812230110168457,4.13,2.03,0.35,4.61
0.8280959129333496,1.04,0.54,1.4,1.82
0.832068920135498,-0.69,0.04,2.43,2.52
0.8421368598937988,-0.57,1.31,-0.47,1.5
0.8525381088256836,1.85,1.76,-3.65,4.45
0.8620061874389648,1.75,0.42,-4.19,4.56
0.8794589042663574,0.52,-0.03,-2.4,2.45
0.8815288543701172,1.24,0.23,-1.72,2.13
0.8919060230255127,1.87,-0.38,-1.64,2.51
0.9026429653167725,1.63,0.03,-0.72,1.78
0.9114480018615723,1.9,0.47,-0.61,2.05
0.9289121627807617,2.02,0.06,-1.21,2.35
0.9311180114746094,2.26,-0.45,-1.26,2.62
0.9414219856262207,2.12,-1.2,-0.7,2.53
0.9523921012878418,1.27,-1.2,-0.43,1.79
0.9614191055297852,0.91,-1.12,-0.17,1.45
0.9789390563964844,-0.34,-1.49,-0.15,1.53
0.9810400009155273,-1.66,-1.59,-1.47,2.72
0.991325855255127,-1.46,-1.86,-3.28,4.04
1.001020908355713,-0.76,-2.42,-3.92,4.66
1.013782024383545,-1.81,-2.35,-2.04,3.6
1.020763874053955,-3.26,-1.32,-0.64,3.57
1.0310659408569336,-3.7,-0.73,-0.02,3.77
1.0411429405212402,-2.19,-0.96,-0.17,2.39
1.05082106590271,-0.05,-0.85,-0.03,0.85
1.063889980316162,0.77,-0.72,1.3,1.67
1.070478916168213,1.55,-0.46,2.4,2.89
1.080806016921997,1.63,-0.12,1.95,2.54
1.0910890102386475,1.07,0.29,1.27,1.68
1.1005420684814453,0.64,0.26,0.32,0.76
1.1136150360107422,0.46,-0.31,0.06,0.55
1.120192050933838,0.3,-1.3,0.69,1.5
1.1306381225585938,-0.35,-1.68,0.92,1.94
1.140841007232666,-0.08,-0.75,-0.06,0.75
1.150519847869873,1.4,0.35,-1.32,1.95
1.1651639938354492,1.69,0.93,-1.64,2.53
1.1699070930480957,1.14,0.91,-2.04,2.5
1.180272102355957,0.07,-0.04,-1.8,1.8
1.190065860748291,-0.67,-0.8,-1.53,1.85
1.20039701461792,-0.7,-0.33,-1.03,1.28
1.2161719799041748,-0.84,0.23,-0.25,0.9
1.2197761535644531,-1.08,0.54,0.6,1.34
1.2301030158996582,-0.94,-0.14,1.81,2.04
1.2402129173278809,-0.25,-1.61,2.12,2.67
1.2501189708709717,-0.8,-1.05,1.95,2.35
1.263458013534546,-0.81,0.16,1.41,1.63
1.2693300247192383,-0.25,-0.06,1.3,1.32
1.2793378829956055,-0.3,-0.64,1.89,2.01
1.2897469997406006,-0.64,-1.11,2.62,2.91
1.299731969833374,-0.43,-1.15,2.31,2.61
1.3136701583862305,-1.03,-0.65,1.51,1.93
1.3191571235656738,-0.77,-0.31,0.55,0.99
1.3290469646453857,-0.45,-0.19,0.03,0.48
1.339353084564209,-2.93,0.48,-0.48,3.0
1.3490629196166992,-4.71,1.75,-3.07,5.88
1.3621211051940918,-2.02,2.43,-3.57,4.76
1.3689489364624023,-0.08,1.9,-1.42,2.37
1.3792099952697754,0.19,1.05,0.01,1.06
1.3892970085144043,0.29,0.53,-0.75,0.96
1.3989479541778564,0.25,0.13,-2.22,2.23
1.412889003753662,-0.36,0.18,-4.16,4.17
1.4190759658813477,-1.12,-0.12,-5.19,5.31
1.429069995880127,-1.64,-0.56,-3.25,3.68
1.439188003540039,-1.31,-1.72,-2.46,3.27
1.4489400386810303,-1.61,-2.25,-2.53,3.74
1.4634671211242676,-1.99,-2.67,-2.09,3.93
1.4683289527893066,-1.42,-2.69,-0.06,3.04
1.4787440299987793,1.25,-1.05,3.61,3.96
1.488981008529663,4.03,0.02,4.71,6.19
1.498434066772461,3.31,-1.0,1.81,3.9
1.515122890472412,1.98,-1.59,-0.82,2.66
1.517991065979004,1.65,-0.93,-1.55,2.44
1.5285279750823975,0.31,-0.2,-2.38,2.4
1.5385220050811768,-1.9,0.12,-3.15,3.68
1.5482940673828125,-2.1,0.65,-2.63,3.42
1.5647358894348145,-0.6,1.11,-1.39,1.87
1.5678248405456543,1.11,0.58,-0.85,1.51
1.578235149383545,2.31,0.81,-0.04,2.44
1.5883610248565674,2.38,0.65,-0.17,2.47
1.5981721878051758,1.39,-0.21,-0.79,1.61
1.612718105316162,0.49,-0.25,0.63,0.83
1.6175289154052734,-1.07,0.18,1.69,2.0
1.6279211044311523,-1.04,0.55,1.45,1.86
1.6379730701446533,1.33,3.3,-0.25,3.56
1.647819995880127,3.53,6.57,-5.25,9.12
1.6643948554992676,0.08,-1.77,2.61,3.15
1.6674308776855469,1.12,2.15,5.16,5.7
1.6777820587158203,-0.95,1.58,-0.55,1.92
1.6876678466796875,-0.22,1.48,-1.6,2.19
1.697803020477295,-0.37,1.16,-1.06,1.61
1.7144789695739746,0.05,0.66,-0.74,0.99
1.717134952545166,0.99,0.87,-0.31,1.35
1.727363109588623,1.28,0.21,0.74,1.49
1.7372398376464844,1.23,0.84,0.82,1.7
1.7472310066223145,0.02,0.57,-0.57,0.8
1.7634220123291016,-0.35,0.46,-0.27,0.63
1.7671308517456055,-0.23,0.12,-0.33,0.41
1.7771270275115967,-0.09,-0.12,0.07,0.16
1.7871441841125488,0.24,0.17,-1.97,1.99
1.7968759536743164,-1.12,-2.41,4.89,5.56
1.8146090507507324,-2.5,0.97,0.71,2.77
1.8164801597595215,-2.95,0.11,-3.64,4.68
1.8268530368804932,-2.2,1.35,-2.18,3.37
1.8372821807861328,0.09,0.68,-1.0,1.21
1.8467588424682617,-0.3,-0.19,0.63,0.72
1.863867998123169,-0.56,-0.58,0.47,0.93
1.8661890029907227,-0.46,-0.13,-0.82,0.94
1.876655101776123,-0.25,0.0,-1.4,1.42
1.887436866760254,-0.46,0.14,-1.09,1.19
1.8964481353759766,-0.24,-0.18,-0.89,0.93
1.9143800735473633,0.07,-0.31,-0.09,0.33
1.916208028793335,0.03,-0.46,0.74,0.87
1.92637300491333,-0.21,0.26,-0.13,0.35
1.9372868537902832,0.56,1.4,-0.67,1.65
1.946516990661621,0.52,1.39,-0.56,1.58
1.9661688804626465,0.46,1.12,-0.2,1.22
1.9668500423431396,0.13,0.62,0.89,1.09
1.9760918617248535,-0.43,-0.17,1.09,1.18
1.9858920574188232,-0.84,-0.47,1.26,1.58
1.996319055557251,0.07,0.08,0.63,0.63
