n, dy(mm), F(kN)
228,     0.125293,     0.009390
229,     0.124953,     0.009390
230,     0.125123,     0.009390
231,     0.124953,     0.009390
232,     0.124611,     0.009390
233,     0.124611,     0.009390
234,     0.124781,     0.009390
235,     0.124953,     0.009390
236,     0.124781,     0.009390
237,     0.124781,     0.009390
238,     0.124611,     0.009530
239,     0.124441,     0.009790
240,     0.124953,     0.009930
241,     0.124953,     0.010060
242,     0.124953,     0.010060
243,     0.124781,     0.010060
244,     0.124611,     0.010060
245,     0.124441,     0.009930
246,     0.124441,     0.010060
247,     0.124441,     0.010060
248,     0.124441,     0.009930
249,     0.124441,     0.009930
250,     0.124441,     0.009930
251,     0.124271,     0.009930
252,     0.124441,     0.009930
253,     0.125123,     0.009930
254,     0.124611,     0.009930
255,     0.124781,     0.009930
256,     0.125123,     0.009930
257,     0.124953,     0.009930
258,     0.124953,     0.009930
259,     0.124953,     0.009930
260,     0.125293,     0.009790
261,     0.124953,     0.009790
262,     0.124953,     0.009790
263,     0.124953,     0.009790
264,     0.124781,     0.009660
265,     0.124781,     0.009790
266,     0.124781,     0.009660
267,     0.124781,     0.009660
268,     0.124781,     0.009660
269,     0.125123,     0.009660
270,     0.124611,     0.009790
271,     0.125123,     0.009790
272,     0.124953,     0.009930
273,     0.125123,     0.010060
274,     0.124953,     0.011000
275,     0.125123,     0.011810
276,     0.125293,     0.011810
277,     0.124271,     0.011810
278,     0.124271,     0.011810
279,     0.124441,     0.011810
280,     0.124271,     0.011810
281,     0.124781,     0.011940
282,     0.124271,     0.011810
283,     0.124099,     0.011810
284,     0.124271,     0.011810
285,     0.124271,     0.011810
286,     0.124611,     0.011810
287,     0.124611,     0.011810
288,     0.124441,     0.011810
289,     0.124953,     0.011810
290,     0.124611,     0.011810
291,     0.124611,     0.011810
292,     0.124611,     0.011810
293,     0.124953,     0.011810
294,     0.124611,     0.011810
295,     0.124611,     0.011810
296,     0.124441,     0.011810
297,     0.124611,     0.011810
298,     0.124271,     0.011810
299,     0.124953,     0.011810
300,     0.124953,     0.011810
301,     0.124099,     0.011810
302,     0.124441,     0.011810
303,     0.124781,     0.011940
304,     0.125293,     0.011810
305,     0.124953,     0.011810
306,     0.124781,     0.011810
307,     0.125123,     0.011810
308,     0.125123,     0.011810
309,     0.124781,     0.011810
310,     0.124611,     0.011810
311,     0.124611,     0.011810
312,     0.124953,     0.011810
313,     0.124441,     0.011940
314,     0.124611,     0.012480
315,     0.124611,     0.012610
316,     0.124953,     0.012750
317,     0.124611,     0.012480
318,     0.124781,     0.012480
319,     0.125123,     0.012480
320,     0.124953,     0.012480
321,     0.124611,     0.012480
322,     0.124611,     0.012480
323,     0.124441,     0.012480
324,     0.125123,     0.012480
325,     0.125123,     0.012610
326,     0.124953,     0.012480
327,     0.124953,     0.012610
328,     0.124953,     0.012610
329,     0.124099,     0.012610
330,     0.124781,     0.012610
331,     0.124441,     0.012610
332,     0.124611,     0.012610
333,     0.124611,     0.012610
334,     0.124611,     0.012610
335,     0.124781,     0.012610
336,     0.124781,     0.012610
337,     0.124441,     0.012610
338,     0.124781,     0.012610
339,     0.125293,     0.012610
340,     0.124271,     0.012610
341,     0.124441,     0.012610
342,     0.124781,     0.012750
343,     0.125123,     0.012610
344,     0.124781,     0.012750
345,     0.124781,     0.012750
346,     0.124441,     0.012750
347,     0.124953,     0.012750
348,     0.124953,     0.012750
349,     0.124953,     0.012750
350,     0.124611,     0.012750
351,     0.124953,     0.012750
352,     0.124781,     0.012880
353,     0.124953,     0.013020
354,     0.124781,     0.013550
355,     0.124781,     0.015030
356,     0.124441,     0.017580
357,     0.124441,     0.022810
358,     0.124441,     0.029660
359,     0.124611,     0.036240
360,     0.124611,     0.043220
361,     0.124271,     0.048720
362,     0.123929,     0.056100
363,     0.124781,     0.068320
364,     0.124441,     0.077710
365,     0.124781,     0.089790
366,     0.124953,     0.101740
367,     0.125463,     0.114220
368,     0.125633,     0.128180
369,     0.126145,     0.144160
370,     0.125633,     0.155570
371,     0.126487,     0.174890
372,     0.126657,     0.192480
373,     0.126997,     0.215570
374,     0.127339,     0.228850
375,     0.128021,     0.250200
376,     0.127850,     0.263750
377,     0.128191,     0.283890
378,     0.128873,     0.302140
379,     0.129214,     0.320260
380,     0.129555,     0.339460
381,     0.130066,     0.358380
382,     0.130407,     0.377180
383,     0.130578,     0.394760
384,     0.131430,     0.416640
385,     0.132112,     0.442550
386,     0.132282,     0.470600
387,     0.132794,     0.485630
388,     0.132624,     0.501200
389,     0.133306,     0.527510
390,     0.133646,     0.548990
391,     0.133816,     0.570200
392,     0.134498,     0.590870
393,     0.134668,     0.613950
394,     0.135350,     0.637040
395,     0.135692,     0.656910
396,     0.136032,     0.678650
397,     0.136714,     0.704160
398,     0.136544,     0.732610
399,     0.137566,     0.748720
400,     0.138248,     0.772610
401,     0.138419,     0.797580
402,     0.138760,     0.820400
403,     0.138419,     0.847780
404,     0.138930,     0.864690
405,     0.139953,     0.882950
406,     0.140635,     0.914360
407,     0.140465,     0.941470
408,     0.141147,     0.963080
409,     0.141317,     0.980530
410,     0.141658,     1.005360
411,     0.142510,     1.029530
412,     0.142681,     1.061070
413,     0.143192,     1.078520
414,     0.144215,     1.104020
415,     0.144215,     1.126840
416,     0.144897,     1.151670
417,     0.144727,     1.183890
418,     0.144897,     1.201340
419,     0.145409,     1.222810
420,     0.146261,     1.245630
421,     0.146431,     1.272480
422,     0.147283,     1.303350
423,     0.147625,     1.319460
424,     0.147795,     1.341610
425,     0.148647,     1.365770
426,     0.149329,     1.391270
427,     0.149669,     1.420130
428,     0.150181,     1.439590
429,     0.150863,     1.465770
430,     0.150863,     1.490600
431,     0.151375,     1.512080
432,     0.152227,     1.528850
433,     0.152227,     1.561740
434,     0.152909,     1.592610
435,     0.152738,     1.611400
436,     0.153591,     1.633550
437,     0.154102,     1.657040
438,     0.154614,     1.684560
439,     0.155806,     1.712080
440,     0.155806,     1.726840
441,     0.156660,     1.752340
442,     0.156830,     1.776510
443,     0.157342,     1.798650
444,     0.157852,     1.826840
445,     0.158194,     1.846300
446,     0.158534,     1.871810
447,     0.158876,     1.892610
448,     0.159556,     1.914760
449,     0.161092,     1.946970
