n, dy(mm), F(kN)
228,     0.168763,     1.256370
229,     0.170127,     1.263080
230,     0.172513,     1.269790
231,     0.174729,     1.276510
232,     0.177286,     1.282550
233,     0.179161,     1.287910
234,     0.180866,     1.292610
235,     0.183082,     1.298650
236,     0.184956,     1.303350
237,     0.187173,     1.307380
238,     0.188707,     1.312080
239,     0.190923,     1.317440
240,     0.193139,     1.321470
241,     0.194843,     1.325500
242,     0.197060,     1.330200
243,     0.199276,     1.333550
244,     0.201492,     1.337580
245,     0.203196,     1.341610
246,     0.205242,     1.344960
247,     0.207458,     1.349660
248,     0.210186,     1.353020
249,     0.212061,     1.357040
250,     0.213937,     1.361070
251,     0.216323,     1.364420
252,     0.218027,     1.367780
253,     0.220073,     1.371140
254,     0.221437,     1.374490
255,     0.223994,     1.378520
256,     0.225528,     1.381200
257,     0.227404,     1.383890
258,     0.228938,     1.387240
259,     0.230642,     1.391270
260,     0.233199,     1.393950
261,     0.234563,     1.397310
262,     0.236779,     1.400670
263,     0.238313,     1.403350
264,     0.240699,     1.405360
265,     0.241723,     1.408720
266,     0.243427,     1.410730
267,     0.244961,     1.415430
268,     0.247348,     1.418790
269,     0.248542,     1.420800
270,     0.250758,     1.423480
271,     0.252120,     1.426840
272,     0.254166,     1.429530
273,     0.255701,     1.432210
274,     0.257235,     1.434220
275,     0.258940,     1.437580
276,     0.260815,     1.440930
277,     0.262861,     1.442950
278,     0.264053,     1.445630
279,     0.265929,     1.448990
280,     0.267122,     1.451000
281,     0.269338,     1.453690
282,     0.270190,     1.456370
283,     0.272406,     1.459730
284,     0.273430,     1.461740
285,     0.275646,     1.463080
286,     0.275986,     1.466440
287,     0.278202,     1.469790
288,     0.279737,     1.471810
289,     0.281612,     1.474490
290,     0.283146,     1.477180
291,     0.284851,     1.479190
292,     0.286725,     1.482550
293,     0.288601,     1.484560
294,     0.289965,     1.486570
295,     0.291329,     1.489260
296,     0.292522,     1.491940
297,     0.294226,     1.494630
298,     0.295932,     1.496640
299,     0.297294,     1.499320
300,     0.299340,     1.502010
301,     0.300364,     1.504020
302,     0.302068,     1.506040
303,     0.303432,     1.509390
304,     0.305648,     1.511400
305,     0.305989,     1.513420
306,     0.308887,     1.516100
307,     0.309569,     1.518790
308,     0.311614,     1.520130
309,     0.313149,     1.522810
310,     0.314853,     1.526170
311,     0.316217,     1.528180
312,     0.317922,     1.530200
313,     0.319286,     1.532880
314,     0.320648,     1.534220
315,     0.322524,     1.537580
316,     0.323888,     1.539590
317,     0.325934,     1.542280
318,     0.326956,     1.544290
319,     0.328661,     1.545630
320,     0.329513,     1.548320
321,     0.331899,     1.551000
322,     0.332581,     1.553690
323,     0.334969,     1.555700
324,     0.336673,     1.557710
325,     0.338378,     1.559730
326,     0.339571,     1.562410
327,     0.340764,     1.564420
328,     0.342640,     1.567110
329,     0.344004,     1.568450
330,     0.345708,     1.571140
331,     0.347072,     1.573820
332,     0.348776,     1.575160
333,     0.350140,     1.577180
334,     0.352185,     1.579860
335,     0.353209,     1.581870
336,     0.355425,     1.584560
337,     0.356789,     1.587240
338,     0.359175,     1.588590
339,     0.360368,     1.591270
340,     0.361902,     1.592610
341,     0.363436,     1.594630
342,     0.364459,     1.597310
343,     0.366504,     1.600670
344,     0.367698,     1.602680
345,     0.369914,     1.603350
346,     0.370596,     1.604690
347,     0.372982,     1.607380
348,     0.374005,     1.609390
349,     0.375881,     1.612080
350,     0.377585,     1.614760
351,     0.379461,     1.616770
352,     0.380823,     1.618120
353,     0.382529,     1.620130
354,     0.384745,     1.622140
355,     0.385427,     1.624830
356,     0.387814,     1.626840
357,     0.388666,     1.628850
358,     0.391052,     1.630870
359,     0.392074,     1.632880
360,     0.393950,     1.634220
361,     0.395314,     1.635570
362,     0.397018,     1.638920
363,     0.398553,     1.642280
364,     0.400087,     1.642950
365,     0.401451,     1.642950
366,     0.402985,     1.646300
367,     0.405712,     1.648320
368,     0.406053,     1.649660
369,     0.408951,     1.651670
370,     0.409974,     1.655700
371,     0.412020,     1.657040
372,     0.413554,     1.657710
373,     0.415088,     1.659730
374,     0.416282,     1.661070
375,     0.417816,     1.664420
376,     0.419861,     1.665770
377,     0.421395,     1.667110
378,     0.423611,     1.669790
379,     0.424805,     1.673150
380,     0.427191,     1.672480
381,     0.428385,     1.673820
382,     0.430941,     1.676510
383,     0.431964,     1.679190
384,     0.434010,     1.680530
385,     0.435204,     1.683220
386,     0.437248,     1.684560
387,     0.438954,     1.685900
388,     0.440317,     1.686570
389,     0.441340,     1.688590
390,     0.442874,     1.691270
391,     0.445091,     1.693950
392,     0.446795,     1.693950
393,     0.448671,     1.695300
394,     0.450033,     1.697980
395,     0.451227,     1.699320
396,     0.453443,     1.702010
397,     0.456000,     1.703350
398,     0.457534,     1.706040
399,     0.459922,     1.707380
400,     0.460602,     1.707380
401,     0.462648,     1.709390
402,     0.464353,     1.712750
403,     0.466569,     1.713420
404,     0.467421,     1.714090
405,     0.469127,     1.716100
406,     0.470319,     1.718790
407,     0.472707,     1.720800
408,     0.474581,     1.720800
409,     0.475945,     1.721470
410,     0.476797,     1.724160
411,     0.479525,     1.728180
412,     0.482252,     1.728180
413,     0.483446,     1.728850
414,     0.486002,     1.730870
415,     0.487026,     1.732880
