Air Temperature (degree C)	Dynamic Pressure (Pa)	Hotwire Output (V)	Static Pressure Drop Test Section (In of H2O)	Air Velocity (m/s)	Hotwire Position (steps)
32.397	680.667	3.428	-0.077	35.172	0.000
31.066	682.326	3.439	-0.077	35.138	400.000
30.988	681.419	3.439	-0.077	35.110	800.000
31.423	676.371	3.434	-0.077	35.005	1200.000
31.979	678.100	3.431	-0.077	35.082	1644.000
32.888	675.956	3.424	-0.077	35.078	2001.000
33.285	675.719	3.421	-0.077	35.095	2400.000
33.725	675.814	3.418	-0.077	35.123	2800.000
34.037	673.857	3.415	-0.077	35.090	3200.000
30.779	680.847	3.432	-0.077	35.084	3400.000
31.340	681.288	3.430	-0.077	35.127	3600.000
32.906	677.676	3.419	-0.077	35.124	3800.000
33.676	675.955	3.409	-0.077	35.123	4000.000
34.176	675.423	3.397	-0.077	35.138	4200.000
32.608	675.587	3.389	-0.077	35.053	4336.000
32.118	675.734	3.385	-0.077	35.028	4407.000
30.790	678.799	3.385	-0.077	35.031	4500.000
30.821	681.649	3.375	-0.077	35.107	4600.000
31.155	682.152	3.360	-0.077	35.139	4700.000
31.811	679.227	3.344	-0.077	35.101	4805.000
32.587	680.029	3.335	-0.077	35.167	4903.000
33.036	678.144	3.332	-0.077	35.144	5000.000
33.373	677.003	3.338	-0.077	35.133	5100.000
33.712	676.806	3.350	-0.077	35.148	5200.000
33.760	674.901	3.379	-0.077	35.101	5400.000
32.128	676.272	3.410	-0.077	35.043	5600.000
31.049	679.339	3.427	-0.077	35.060	5800.000
30.995	681.153	3.432	-0.077	35.104	6000.000
31.471	682.233	3.430	-0.077	35.159	6200.000
32.296	679.513	3.427	-0.077	35.137	6400.000
33.150	678.173	3.423	-0.077	35.151	6805.000
33.648	677.656	3.421	-0.077	35.166	7200.000
32.802	680.569	3.421	-0.077	35.193	7600.000
31.048	679.436	3.435	-0.077	35.063	8000.000
30.981	682.691	3.441	-0.077	35.143	8400.000
31.381	682.511	3.439	-0.077	35.161	8800.000
32.409	680.272	3.434	-0.077	35.163	9200.000
33.210	678.302	3.429	-0.077	35.158	9600.000
33.749	678.366	3.427	-0.077	35.190	10000.000
34.274	677.136	3.426	-0.077	35.188	11181.000
32.630	677.918	3.429	-0.077	35.114	12007.000
31.105	679.590	3.443	-0.077	35.070	13005.000
31.001	683.261	3.448	-0.077	35.158	14005.000
