Air Temperature (degree C)	Dynamic Pressure (Pa)	Hotwire Output (V)	Static Pressure Drop Test Section (In of H2O)	Air Velocity (m/s)	Hotwire Position (steps)
28.085	690.239	3.470	-0.077	35.086	0.000
28.618	687.719	3.465	-0.077	35.053	424.000
29.059	684.748	3.459	-0.077	35.003	806.000
29.387	684.524	3.454	-0.077	35.016	1200.000
29.388	682.039	3.451	-0.077	34.952	1600.000
28.677	677.061	3.449	-0.077	34.784	2005.000
28.344	680.687	3.452	-0.077	34.857	2400.000
27.407	681.323	3.459	-0.077	34.819	2801.000
26.975	682.717	3.463	-0.077	34.830	3235.000
26.620	686.349	3.466	-0.077	34.902	3600.000
26.566	686.484	3.468	-0.077	34.902	4000.000
26.799	684.848	3.465	-0.077	34.874	4202.000
27.147	684.104	3.461	-0.077	34.875	4403.000
27.401	683.493	3.451	-0.077	34.875	4600.000
27.692	683.958	3.432	-0.077	34.903	4862.000
28.122	684.143	3.416	-0.077	34.933	5003.000
28.550	681.889	3.392	-0.077	34.900	5200.000
28.762	683.589	3.380	-0.077	34.956	5300.000
28.666	682.287	3.366	-0.077	34.917	5403.000
28.528	683.357	3.355	-0.077	34.936	5500.000
28.332	682.716	3.343	-0.077	34.909	5600.000
28.167	682.551	3.335	-0.077	34.895	5700.000
27.768	684.121	3.338	-0.077	34.912	5800.000
27.355	684.442	3.353	-0.077	34.896	5900.000
26.994	686.456	3.376	-0.077	34.926	6000.000
26.748	686.023	3.427	-0.077	34.901	6200.000
26.778	688.482	3.461	-0.077	34.965	6400.000
26.968	687.871	3.468	-0.077	34.961	6600.000
27.401	687.455	3.467	-0.077	34.975	6800.000
27.671	687.205	3.466	-0.077	34.985	7000.000
27.952	683.929	3.464	-0.077	34.918	7200.000
28.450	684.764	3.463	-0.077	34.968	7600.000
28.613	685.633	3.463	-0.077	34.999	8000.000
28.415	683.555	3.465	-0.077	34.935	8400.000
28.240	684.080	3.467	-0.077	34.938	8801.000
27.967	686.757	3.470	-0.077	34.991	9200.000
27.503	686.247	3.474	-0.077	34.951	9600.000
27.023	689.135	3.480	-0.077	34.996	10000.000
26.863	689.294	3.483	-0.077	34.991	11000.000
27.188	688.915	3.483	-0.077	35.000	12575.000
27.578	690.291	3.481	-0.077	35.058	13000.000
28.034	688.619	3.479	-0.077	35.042	14001.000
